0.000000	0.100000	0.050000	5746
0.100000	0.200000	0.150000	203
0.200000	0.300000	0.250000	293
0.300000	0.400000	0.350000	330
0.400000	0.500000	0.450000	309
0.500000	0.600000	0.550000	293
0.600000	0.700000	0.650000	262
0.700000	0.800000	0.750000	290
0.800000	0.900000	0.850000	222
0.900000	1.000000	0.950000	236
1.000000	1.100000	1.050000	233
1.100000	1.200000	1.150000	258
1.200000	1.300000	1.250000	212
1.300000	1.400000	1.350000	203
1.400000	1.500000	1.450000	185
1.500000	1.600000	1.550000	213
1.600000	1.700000	1.650000	153
1.700000	1.800000	1.750000	149
1.800000	1.900000	1.850000	169
1.900000	2.000000	1.950000	127
2.000000	2.100000	2.050000	153
2.100000	2.200000	2.150000	162
2.200000	2.300000	2.250000	122
2.300000	2.400000	2.350000	162
2.400000	2.500000	2.450000	130
2.500000	2.600000	2.550000	100
2.600000	2.700000	2.650000	113
2.700000	2.800000	2.750000	109
2.800000	2.900000	2.850000	106
2.900000	3.000000	2.950000	103
3.000000	3.100000	3.050000	88
3.100000	3.200000	3.150000	105
3.200000	3.300000	3.250000	76
3.300000	3.400000	3.350000	92
3.400000	3.500000	3.450000	82
3.500000	3.600000	3.550000	85
3.600000	3.700000	3.650000	65
3.700000	3.800000	3.750000	88
3.800000	3.900000	3.850000	60
3.900000	4.000000	3.950000	73
4.000000	4.100000	4.050000	49
4.100000	4.200000	4.150000	56
4.200000	4.300000	4.250000	112
4.300000	4.400000	4.350000	0
4.400000	4.500000	4.450000	57
4.500000	4.600000	4.550000	57
4.600000	4.700000	4.650000	46
4.700000	4.800000	4.750000	47
4.800000	4.900000	4.850000	36
4.900000	5.000000	4.950000	33
5.000000	5.100000	5.050000	35
5.100000	5.200000	5.150000	44
5.200000	5.300000	5.250000	31
5.300000	5.400000	5.350000	32
5.400000	5.500000	5.450000	37
5.500000	5.600000	5.550000	47
5.600000	5.700000	5.650000	24
5.700000	5.800000	5.750000	32
5.800000	5.900000	5.850000	32
5.900000	6.000000	5.950000	20
6.000000	6.100000	6.050000	22
6.100000	6.200000	6.150000	31
6.200000	6.300000	6.250000	23
6.300000	6.400000	6.350000	49
6.400000	6.500000	6.450000	19
6.500000	6.600000	6.550000	20
6.600000	6.700000	6.650000	18
6.700000	6.800000	6.750000	25
6.800000	6.900000	6.850000	25
6.900000	7.000000	6.950000	23
7.000000	7.100000	7.050000	19
7.100000	7.200000	7.150000	19
7.200000	7.300000	7.250000	13
7.300000	7.400000	7.350000	17
7.400000	7.500000	7.450000	10
7.500000	7.600000	7.550000	20
7.600000	7.700000	7.650000	20
7.700000	7.800000	7.750000	23
7.800000	7.900000	7.850000	12
7.900000	8.000000	7.950000	24
